Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,New_price,Fuel_Type_Electric,Fuel_Type_Petrol,Transmission_Manual,Age,Cost_Efficiency
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,Second,0.0,2179.0,115.0,5.0,4.78 Lakh,17.5,4.78,False,False,False,13,
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,First,13.5,2477.0,175.56,7.0,32.01 Lakh,15.0,32.01,False,False,True,11,1.1111111111111112
16,Honda Amaze S i-Dtech,Kochi,2016,58950,First,25.8,1498.0,98.6,5.0,4.78 Lakh,5.4,4.78,False,False,True,9,0.20930232558139536
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,First,28.4,1248.0,74.0,5.0,4.78 Lakh,5.99,4.78,False,False,True,8,0.2109154929577465
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,First,20.45,1461.0,83.8,5.0,4.78 Lakh,6.34,4.78,False,False,True,11,0.31002444987775063
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,First,14.84,2143.0,167.62,5.0,4.78 Lakh,28.0,4.78,False,False,False,11,1.8867924528301887
20,BMW 3 Series 320d,Kochi,2014,32982,First,22.69,1995.0,190.0,5.0,47.87 Lakh,18.55,47.87,False,False,False,11,0.8175407668576465
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,Second,23.65,1248.0,88.5,5.0,4.78 Lakh,8.25,4.78,False,False,True,10,0.3488372093023256
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,First,13.53,1984.0,177.01,5.0,4.78 Lakh,23.5,4.78,False,True,False,10,1.7368810051736883
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,First,18.5,1197.0,80.0,5.0,4.78 Lakh,1.87,4.78,False,True,True,15,0.10108108108108109
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,First,14.4,1598.0,103.6,5.0,4.78 Lakh,2.85,4.78,False,True,False,15,0.19791666666666666
25,Honda City Corporate Edition,Mumbai,2012,51920,First,16.8,1497.0,116.3,5.0,4.78 Lakh,4.25,4.78,False,True,True,13,0.25297619047619047
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,First,16.48,1461.0,63.1,5.0,4.78 Lakh,4.25,4.78,False,False,True,13,0.2578883495145631
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Second,20.92,998.0,67.1,5.0,4.78 Lakh,2.75,4.78,False,True,True,12,0.13145315487571702
28,Honda WRV i-VTEC VX,Kochi,2018,37430,First,17.5,1199.0,88.7,5.0,10.57 Lakh,9.9,10.57,False,True,True,7,0.5657142857142857
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Fourth & Above,12.8,2494.0,102.0,7.0,4.78 Lakh,4.0,4.78,False,False,True,18,0.3125
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,19.01,1461.0,108.45,5.0,4.78 Lakh,7.75,4.78,False,False,True,12,0.40768016833245657
31,Toyota Corolla Altis G,Delhi,2012,87615,First,14.53,1798.0,138.1,5.0,4.78 Lakh,6.75,4.78,False,True,True,13,0.46455609084652444
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,11.18,2696.0,184.0,7.0,4.78 Lakh,12.5,4.78,False,False,False,12,1.118067978533095
33,Audi A6 2.7 TDI,Kolkata,2010,35000,First,12.4,2698.0,179.5,5.0,4.78 Lakh,11.5,4.78,False,False,False,15,0.9274193548387096
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,16.09,1598.0,103.5,5.0,12.33 Lakh,6.98,12.33,False,True,True,11,0.4338098197638285
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,14.0,1061.0,64.0,5.0,4.78 Lakh,1.85,4.78,False,True,True,16,0.13214285714285715
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,24.3,1248.0,88.5,5.0,11.12 Lakh,8.63,11.12,False,False,True,7,0.35514403292181074
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,18.15,1198.0,82.0,5.0,4.78 Lakh,4.85,4.78,False,True,True,8,0.26721763085399447
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,11.74,2987.0,254.8,5.0,4.78 Lakh,28.0,4.78,False,False,False,12,2.385008517887564
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,22.07,1199.0,73.9,5.0,4.78 Lakh,5.0,4.78,False,False,True,12,0.22655188038060717
40,Maruti Alto LXi,Delhi,2008,90000,Second,19.7,796.0,46.3,5.0,4.78 Lakh,1.25,4.78,False,True,True,17,0.06345177664974619
41,Tata Nano LX SE,Kochi,2014,19698,First,25.4,624.0,37.5,4.0,4.78 Lakh,1.53,4.78,False,True,True,11,0.06023622047244095
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,25.32,1198.0,77.0,6.0,4.78 Lakh,5.58,4.78,False,False,True,8,0.22037914691943128
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,18.5,1197.0,82.9,5.0,4.78 Lakh,4.74,4.78,False,True,True,11,0.2562162162162162
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,14.62,1999.0,149.92,5.0,23.64 Lakh,8.85,23.64,False,True,False,11,0.6053351573187414
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,First,14.28,1798.0,138.03,5.0,4.78 Lakh,10.11,4.78,False,True,False,9,0.707983193277311
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,14.9,1991.0,112.2,5.0,4.78 Lakh,4.25,4.78,False,False,True,17,0.28523489932885904
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,11.25,2694.0,163.7,7.0,18.64 Lakh,10.95,18.64,False,True,True,13,0.9733333333333333
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,24.4,1120.0,71.0,5.0,4.78 Lakh,3.85,4.78,False,False,True,11,0.15778688524590165
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,16.55,2498.0,105.0,6.0,4.78 Lakh,5.5,4.78,False,False,True,13,0.3323262839879154
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,17.11,1968.0,174.33,5.0,4.78 Lakh,21.43,4.78,False,False,False,10,1.2524839275277615
51,Maruti Swift LDI,Delhi,2014,52000,First,22.9,1248.0,74.0,5.0,4.78 Lakh,4.25,4.78,False,False,True,11,0.18558951965065504
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,17.8,1248.0,75.0,5.0,4.78 Lakh,3.3,4.78,False,False,True,11,0.18539325842696627
53,Maruti Swift VDI,Delhi,2013,65650,First,28.4,1248.0,74.0,5.0,4.78 Lakh,3.85,4.78,False,False,True,12,0.13556338028169015
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,18.9,1197.0,82.0,5.0,4.78 Lakh,3.6,4.78,False,True,True,10,0.1904761904761905
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,15.04,1598.0,103.2,5.0,4.78 Lakh,3.99,4.78,False,True,True,10,0.26529255319148937
56,Renault KWID RXT,Kochi,2017,16542,First,25.17,799.0,53.3,5.0,4.78 Lakh,3.3,4.78,False,True,True,8,0.13110846245530391
57,Hyundai i10 Asta,Kolkata,2010,32000,First,20.36,1197.0,78.9,5.0,4.78 Lakh,2.07,4.78,False,True,True,15,0.10166994106090373
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,9.49,1995.0,147.6,5.0,4.78 Lakh,7.75,4.78,False,False,False,15,0.8166491043203372
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,18.2,998.0,67.1,5.0,4.78 Lakh,2.25,4.78,False,True,True,15,0.12362637362637363
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,13.68,2393.0,147.8,8.0,19.34 Lakh,16.5,19.34,False,False,True,8,1.206140350877193
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,First,20.0,1399.0,68.0,5.0,4.78 Lakh,2.75,4.78,False,False,True,15,0.1375
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,11.74,1796.0,186.0,5.0,4.78 Lakh,26.7,4.78,False,True,False,10,2.27427597955707
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,15.8,2148.0,170.0,5.0,4.78 Lakh,10.0,4.78,False,False,True,14,0.6329113924050632
64,Tata Indica V2 eLS,Chennai,2016,178000,First,25.0,1396.0,69.0,5.0,4.78 Lakh,2.5,4.78,False,False,True,9,0.1
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,16.55,1968.0,140.0,5.0,4.78 Lakh,13.5,4.78,False,False,False,13,0.8157099697885196
66,Honda City ZX CVT,Mumbai,2007,63000,Second,16.4,1497.0,78.0,5.0,4.78 Lakh,1.85,4.78,False,True,False,18,0.1128048780487805
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,0.0,1950.0,194.0,5.0,49.14 Lakh,35.67,49.14,False,False,False,6,
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,First,24.52,1248.0,88.5,7.0,4.78 Lakh,8.15,4.78,False,False,True,9,0.33238172920065256
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,22.1,1396.0,88.7,5.0,11.81 Lakh,10.5,11.81,False,False,True,7,0.4751131221719457
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,8.5,4806.0,500.0,5.0,4.78 Lakh,14.5,4.78,False,True,False,17,1.7058823529411764
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,15.1,2179.0,140.0,7.0,4.78 Lakh,9.65,4.78,False,False,True,10,0.6390728476821192
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,16.95,1197.0,78.9,5.0,4.78 Lakh,3.48,4.78,False,True,False,13,0.20530973451327433
73,Nissan Terrano XV D Pre,Kochi,2015,56066,First,19.64,1461.0,108.5,5.0,16.65 Lakh,6.92,16.65,False,False,True,10,0.35234215885947046
74,Honda Brio VX AT,Coimbatore,2016,37300,Second,16.5,1198.0,86.8,5.0,4.78 Lakh,6.46,4.78,False,True,False,9,0.39151515151515154
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,18.53,1968.0,187.74,5.0,4.78 Lakh,29.5,4.78,False,False,False,11,1.5920129519697785
77,Toyota Innova 2.0 G1,Chennai,2006,230000,Third,12.4,1998.0,132.0,8.0,4.78 Lakh,4.5,4.78,False,True,True,19,0.3629032258064516
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,12.8,2494.0,102.0,7.0,4.78 Lakh,11.75,4.78,False,False,True,13,0.91796875
80,Maruti Swift VDI,Jaipur,2012,95100,First,22.9,1248.0,74.0,5.0,4.78 Lakh,3.75,4.78,False,False,True,13,0.16375545851528386
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,17.57,1193.0,88.7,5.0,6.67 Lakh,4.5,6.67,False,True,True,8,0.25611838360842343
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,First,18.0,1198.0,86.7,5.0,4.78 Lakh,4.82,4.78,False,True,True,9,0.2677777777777778
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,20.0,1399.0,68.0,5.0,4.78 Lakh,2.8,4.78,False,False,True,13,0.13999999999999999
84,Maruti Ritz VDi,Jaipur,2013,99638,First,23.2,1248.0,73.94,5.0,4.78 Lakh,3.11,4.78,False,False,True,12,0.13405172413793104
85,Honda City i VTEC E,Delhi,2009,52000,First,17.8,1497.0,117.3,5.0,4.78 Lakh,3.25,4.78,False,True,True,16,0.18258426966292135
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,16.73,1995.0,218.0,5.0,4.78 Lakh,13.9,4.78,False,False,False,14,0.830842797369994
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,First,20.36,1197.0,78.9,5.0,4.78 Lakh,2.25,4.78,False,True,True,16,0.11051080550098231
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,18.9,1197.0,82.0,5.0,4.78 Lakh,5.75,4.78,False,True,True,9,0.30423280423280424
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,17.8,1198.0,86.7,5.0,4.78 Lakh,5.0,4.78,False,True,True,9,0.28089887640449435
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,13.0,2982.0,168.5,7.0,4.78 Lakh,16.5,4.78,False,False,True,11,1.2692307692307692
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,17.68,1968.0,174.33,5.0,4.78 Lakh,39.58,4.78,False,False,False,7,2.23868778280543
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,22.7,1498.0,89.84,5.0,4.78 Lakh,5.5,4.78,False,False,True,12,0.2422907488986784
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,15.1,2179.0,140.0,7.0,4.78 Lakh,8.1,4.78,False,False,True,11,0.5364238410596026
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,25.8,1498.0,98.6,5.0,4.78 Lakh,3.5,4.78,False,False,True,10,0.13565891472868216
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,22.07,1199.0,73.9,5.0,4.78 Lakh,2.79,4.78,False,False,True,12,0.12641594925237878
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,16.2,1493.0,110.0,5.0,4.78 Lakh,3.45,4.78,False,False,True,15,0.212962962962963
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,18.9,998.0,67.1,5.0,4.78 Lakh,4.45,4.78,False,True,True,9,0.23544973544973546
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,15.26,1598.0,103.5,5.0,4.78 Lakh,2.65,4.78,False,True,True,15,0.17365661861074705
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,23.0,1396.0,90.0,5.0,4.78 Lakh,3.8,4.78,False,False,True,14,0.16521739130434782
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,18.5,1197.0,82.85,5.0,4.78 Lakh,4.65,4.78,False,True,True,11,0.2513513513513514
102,Datsun GO Plus T Petrol,Pune,2017,32851,First,19.83,1198.0,67.0,7.0,6.45 Lakh,3.95,6.45,False,True,True,8,0.19919314170448818
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,14.94,2967.0,241.4,5.0,4.78 Lakh,9.8,4.78,False,False,False,15,0.6559571619812584
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,17.0,1197.0,80.0,5.0,4.78 Lakh,2.7,4.78,False,True,True,16,0.15882352941176472
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,14.0,796.0,35.0,5.0,4.78 Lakh,2.41,4.78,False,True,True,15,0.17214285714285715
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,17.71,1197.0,78.9,5.0,6.41 Lakh,3.9,6.41,False,True,True,11,0.22021456804065498
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,14.74,2993.0,270.9,5.0,4.78 Lakh,24.0,4.78,False,False,False,14,1.6282225237449117
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,16.0,2179.0,140.0,7.0,4.78 Lakh,5.75,4.78,False,False,True,13,0.359375
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,22.32,1582.0,126.32,5.0,4.78 Lakh,5.25,4.78,False,False,False,11,0.23521505376344085
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,11.36,2755.0,171.5,7.0,27 Lakh,19.25,27.0,False,False,False,8,1.6945422535211268
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,15.1,1196.0,73.0,5.0,5.13 Lakh,3.91,5.13,False,True,True,8,0.2589403973509934
112,Tata Nano Twist XT,Bangalore,2014,25500,First,25.4,624.0,37.5,4.0,4.78 Lakh,2.15,4.78,False,True,True,11,0.08464566929133858
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,22.69,1995.0,190.0,5.0,54.43 Lakh,20.75,54.43,False,False,False,10,0.9144997796386073
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,13.5,1799.0,130.0,5.0,4.78 Lakh,3.35,4.78,False,True,True,15,0.24814814814814815
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,12.99,2494.0,100.6,7.0,4.78 Lakh,11.11,4.78,False,False,True,11,0.8552732871439568
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,First,23.3,1984.0,150.0,5.0,4.78 Lakh,20.0,4.78,False,False,False,11,0.8583690987124464
117,Nissan Micra XV CVT,Coimbatore,2016,39882,First,19.15,1198.0,75.94,5.0,9.51 Lakh,6.55,9.51,False,True,False,9,0.3420365535248042
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,10.8,2497.0,215.0,5.0,4.78 Lakh,7.0,4.78,False,True,False,16,0.6481481481481481
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,24.3,1248.0,88.5,5.0,9.96 Lakh,7.5,9.96,False,False,True,9,0.30864197530864196
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,15.0,2143.0,107.3,5.0,4.78 Lakh,16.75,4.78,False,False,False,11,1.1166666666666667
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,22.0,1582.0,126.2,5.0,14.44 Lakh,10.95,14.44,False,False,True,7,0.4977272727272727
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,First,18.9,998.0,67.1,5.0,4.78 Lakh,2.45,4.78,False,True,True,14,0.12962962962962965
124,Tata Nano XTA,Coimbatore,2017,32684,First,21.9,624.0,37.48,4.0,4.78 Lakh,3.23,4.78,False,True,False,8,0.14748858447488586
125,Mahindra Scorpio VLX,Kolkata,2014,42000,First,12.05,2179.0,120.0,8.0,4.78 Lakh,7.75,4.78,False,False,True,11,0.6431535269709543
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,11.7,1796.0,178.0,5.0,4.78 Lakh,9.35,4.78,False,True,False,16,0.7991452991452992
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,10.8,2354.0,152.0,5.0,4.78 Lakh,5.25,4.78,False,True,True,18,0.4861111111111111
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,21.21,1498.0,103.2,5.0,4.78 Lakh,7.25,4.78,False,False,False,10,0.3418198962753418
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,First,20.73,1373.0,91.1,5.0,4.78 Lakh,7.47,4.78,False,True,True,8,0.36034732272069464
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,16.0,2179.0,140.0,7.0,4.78 Lakh,13.25,4.78,False,False,False,9,0.828125
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,21.1,1197.0,85.8,5.0,4.78 Lakh,5.81,4.78,False,True,True,9,0.2753554502369668
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,24.07,998.0,67.1,5.0,4.53 Lakh,2.6,4.53,False,True,True,11,0.1080182800166182
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,19.0,2996.0,362.07,2.0,95.04 Lakh,54.0,95.04,False,True,False,8,2.8421052631578947
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,17.0,1591.0,121.3,5.0,13.49 Lakh,11.5,13.49,False,True,False,6,0.6764705882352942
136,Maruti Alto LXi BSIII,Chennai,2010,94385,Second,19.7,796.0,46.3,5.0,4.78 Lakh,1.6,4.78,False,True,True,15,0.08121827411167513
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,First,20.58,1995.0,143.0,5.0,4.78 Lakh,17.22,4.78,False,False,False,10,0.8367346938775511
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,19.0,1199.0,88.7,5.0,4.78 Lakh,6.0,4.78,False,True,False,10,0.3157894736842105
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,13.5,1799.0,130.0,5.0,4.78 Lakh,3.95,4.78,False,True,True,13,0.2925925925925926
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,19.27,2143.0,170.0,5.0,4.78 Lakh,17.95,4.78,False,False,False,11,0.9314997405293202
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,25.8,1498.0,98.6,5.0,4.78 Lakh,3.7,4.78,False,False,True,11,0.1434108527131783
142,Maruti Swift VVT VXI,Kochi,2016,34204,First,22.0,1197.0,81.8,5.0,4.78 Lakh,5.43,4.78,False,True,True,9,0.2468181818181818
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,11.5,2982.0,171.0,7.0,4.78 Lakh,13.49,4.78,False,False,True,13,1.1730434782608696
145,Chevrolet Beat LT Option,Pune,2014,38800,First,18.6,1199.0,76.8,5.0,4.78 Lakh,2.85,4.78,False,True,True,11,0.1532258064516129
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,21.14,1498.0,103.52,5.0,4.78 Lakh,4.75,4.78,False,False,True,12,0.22469252601702933
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,20.73,1373.0,91.1,5.0,4.78 Lakh,9.9,4.78,False,True,True,7,0.4775687409551375
148,Audi RS5 Coupe,Mumbai,2013,23000,First,11.05,2894.0,444.0,4.0,1.28 Cr,37.0,1.28,False,True,False,12,3.34841628959276
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,21.76,1995.0,190.0,5.0,60.88 Lakh,26.5,60.88,False,False,False,11,1.2178308823529411
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,17.11,1968.0,174.33,5.0,4.78 Lakh,23.32,4.78,False,False,False,10,1.3629456458211573
151,Maruti Swift VDI,Chennai,2016,35000,First,22.9,1248.0,74.0,5.0,4.78 Lakh,6.25,4.78,False,False,True,9,0.27292576419213976
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,7.81,5461.0,362.9,5.0,4.78 Lakh,30.0,4.78,False,True,False,15,3.8412291933418694
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,21.66,1498.0,103.52,5.0,4.78 Lakh,9.86,4.78,False,False,False,9,0.4552169898430286
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,17.2,1968.0,138.1,5.0,4.78 Lakh,8.5,4.78,False,False,False,13,0.49418604651162795
155,Hyundai EON Magna Plus,Kochi,2019,14322,First,21.1,814.0,55.2,5.0,4.78 Lakh,4.23,4.78,False,True,True,6,0.20047393364928912
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,22.07,1199.0,73.9,5.0,4.78 Lakh,3.5,4.78,False,False,True,13,0.158586316266425
157,Datsun GO NXT,Kolkata,2016,6000,First,20.63,1198.0,67.06,5.0,4.78 Lakh,2.5,4.78,False,True,True,9,0.1211827435773146
158,Honda Brio S MT,Kolkata,2013,33280,First,19.4,1198.0,86.8,5.0,4.78 Lakh,2.39,4.78,False,True,True,12,0.12319587628865981
159,Mercedes-Benz B Class B180,Delhi,2013,29000,First,14.8,1595.0,120.7,5.0,4.78 Lakh,11.25,4.78,False,True,False,12,0.7601351351351351
160,Honda City i DTEC V,Kochi,2015,42831,First,26.0,1498.0,98.6,5.0,4.78 Lakh,7.11,4.78,False,False,True,10,0.2734615384615385
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,12.99,2494.0,100.6,7.0,4.78 Lakh,10.9,4.78,False,False,True,9,0.8391070053887606
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,20.4,1197.0,81.8,5.0,4.78 Lakh,6.2,4.78,False,True,True,8,0.303921568627451
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,15.1,2179.0,140.0,7.0,4.78 Lakh,7.9,4.78,False,False,True,13,0.5231788079470199
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,22.7,1498.0,89.84,5.0,4.78 Lakh,4.42,4.78,False,False,True,11,0.1947136563876652
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,13.0,2982.0,168.5,7.0,4.78 Lakh,13.5,4.78,False,False,True,13,1.0384615384615385
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,21.5,1498.0,108.5,5.0,4.78 Lakh,6.25,4.78,False,False,False,12,0.29069767441860467
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,20.0,1399.0,68.0,5.0,4.78 Lakh,2.1,4.78,False,False,True,15,0.10500000000000001
168,BMW X5 xDrive 30d,Mumbai,2015,41000,First,15.3,2993.0,258.0,5.0,4.78 Lakh,45.0,4.78,False,False,False,10,2.941176470588235
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,19.27,2143.0,167.62,5.0,4.78 Lakh,33.66,4.78,False,False,False,8,1.7467566165023352
170,Honda Brio V MT,Bangalore,2012,45000,Second,19.4,1198.0,86.8,5.0,4.78 Lakh,3.65,4.78,False,True,True,13,0.18814432989690721
